name_cat,ra_cat,dec_cat,e_Pos,Class,SubClass,ref,sep,name,ra,dec,r0,PU,remove_code,_r_simbad,main_id,ra_simbad,dec_simbad,coo_err_maj,coo_err_min,coo_err_angle,nbref,ra_sexa,dec_sexa,coo_qual,coo_bibcode,main_type,other_types,radvel,radvel_err,redshift,redshift_err,sp_type,morph_type,plx,plx_err,pmra,pmdec,pm_err_maj,pm_err_min,pm_err_pa,size_maj,size_min,size_angle,B,V,R,J,H,K,u,g,r,i,z
NGC 104-W21,6.03125,-72.0908889,,CV,CV,2005JAD....11....2D,1.349845,2CXO J002407.7-720527,6.0324637,-72.0909249,0.713,0.713,2,0.244643,CXOGlb J002407.7-720527,6.0323875,-72.0908611111,,,172.0,7.0,00 24 07.773,-72 05 27.10,D,2001Sci...292.2290G,CataclyV*,CV*|X,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0021-72G,6.033167916666667,-72.07769527777778,0.0015,NS,,2005AJ....129.1993M,0.115268,2CXO J002407.9-720439,6.0332181,-72.0777233,0.717,0.7211719628493608,2,0.205001,PSR J0024-72G,6.0330958333,-72.0776805556,0.037,0.03,90.0,41.0,00 24 07.943,-72 04 39.65,D,2005ApJ...625..796H,Pulsar,Psr|X,,,,,,,,,4.5,-2.9,,,32767,,,,,,,,,,,,,,
B0021-72I,6.03306125,-72.07768930555555,0.003,NS_BIN,,2005AJ....129.1993M,0.212612,2CXO J002407.9-720439,6.0332181,-72.0777233,0.717,0.7253199294104636,2,0.205001,PSR J0024-72G,6.0330958333,-72.0776805556,0.037,0.03,90.0,41.0,00 24 07.943,-72 04 39.65,D,2005ApJ...625..796H,Pulsar,Psr|X,,,,,,,,,4.5,-2.9,,,32767,,,,,,,,,,,,,,
NGC 104-W15,6.034583,-72.083333,1.0,CV,CV,2003A&A...404..301R,0.987167,2CXO J002408.4-720500,6.035411,-72.0834345,0.711,2.122621256842586,2,0.134752,Cl* NGC  104    EGG V27,6.0354,-72.0833972222,,,172.0,12.0,00 24 08.496,-72 05 00.23,D,2001Sci...292.2290G,BYDra,*  |BY*|CV*|X,,,,,,,,,,,,,,,,,,18.121,,,,,,,,,
NGC 104-W15,6.034125,-72.0833889,,CV,CV,2005JAD....11....2D,1.433695,2CXO J002408.4-720500,6.035411,-72.0834345,0.711,0.711,2,0.134752,Cl* NGC  104    EGG V27,6.0354,-72.0833972222,,,172.0,12.0,00 24 08.496,-72 05 00.23,D,2001Sci...292.2290G,BYDra,*  |BY*|CV*|X,,,,,,,,,,,,,,,,,,18.121,,,,,,,,,
NGC 104 CV,6.0359583,-72.0830278,,CV,CV:,2005JAD....11....2D,1.58463,2CXO J002408.4-720500,6.035411,-72.0834345,0.711,0.711,2,0.134752,Cl* NGC  104    EGG V27,6.0354,-72.0833972222,,,172.0,12.0,00 24 08.496,-72 05 00.23,D,2001Sci...292.2290G,BYDra,*  |BY*|CV*|X,,,,,,,,,,,,,,,,,,18.121,,,,,,,,,
NGC 104 CV,6.0369167,-72.0837778,,CV,CV:,2005JAD....11....2D,2.075514,2CXO J002408.4-720500,6.035411,-72.0834345,0.711,0.711,2,0.134752,Cl* NGC  104    EGG V27,6.0354,-72.0833972222,,,172.0,12.0,00 24 08.496,-72 05 00.23,D,2001Sci...292.2290G,BYDra,*  |BY*|CV*|X,,,,,,,,,,,,,,,,,,18.121,,,,,,,,,
NGC 104 CV,6.035125,-72.0851111,,CV,CV:,2005JAD....11....2D,2.069799,2CXO J002408.7-720507,6.0366259,-72.0854537,0.716,0.716,2,0.169893,Cl* NGC  104    EGG V41,6.0364875,-72.0854333333,0.05,0.046,92.0,5.0,00 24 08.757,-72 05 07.56,D,2005ApJ...625..796H,BYDra,BY*|X  |XB*,,,,,,,,,,,,,,,,,,17.625,,,,,,,,,
NGC 104-W71,6.04325,-72.0881111,,CV,CV:,2005JAD....11....2D,1.604626,2CXO J002410.6-720516,6.0444877,-72.0878792,0.731,0.731,2,0.161763,CXOGlb J002410.6-720516,6.0443416667,-72.0878805556,,,172.0,7.0,00 24 10.642,-72 05 16.37,D,2001Sci...292.2290G,CataclyV*,CV*|X,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC 104-W8,6.04375,-72.073889,1.0,CV,CV,2003A&A...404..301R,1.277235,2CXO J002410.7-720425,6.0448846,-72.0738263,0.71,2.122286502807762,2,0.077644,CXOGlb J002410.7-720425,6.0448458333,-72.0738083333,,,172.0,11.0,00 24 10.763,-72 04 25.71,D,2001Sci...292.2290G,CataclyV*,CV*|X,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC 104-W120,6.045,-72.105556,1.0,CV,CV,2003A&A...404..301R,1.515498,2CXO J002411.1-720620,6.0463672,-72.105583,0.712,2.1229564291336738,2,0.185307,CXOGlb J002411.0-720620,6.0462083333,-72.1055666667,0.03,0.028,0.0,6.0,00 24 11.090,-72 06 20.04,D,2005ApJ...625..796H,CataclyV*,CV*|X,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC 104-W2,6.065,-72.076667,1.0,CV,CV,2003A&A...404..301R,1.496656,2CXO J002415.9-720436,6.066288,-72.0767924,0.71,2.122286502807762,2,0.152793,Cl* NGC  104  AGBWF  2-48,6.0661666667,-72.0767722222,0.01,0.009,0.0,17.0,00 24 15.880,-72 04 36.38,D,2005ApJ...625..796H,CataclyV*,*  |CV*|V* |X,,,,,Me,,,,,,,,,,,,,,,,,,,,,,
NGC 104-W1,6.069583,-72.074167,1.0,CV,CV,2003A&A...404..301R,1.360459,2CXO J002416.9-720427,6.0707912,-72.0742344,0.71,2.122286502807762,2,0.115652,CXOGlb J002416.9-720427,6.0707041667,-72.0742166667,,,172.0,11.0,00 24 16.969,-72 04 27.18,D,2001Sci...292.2290G,CataclyV*,*  |CV*|X,,,,,Me,,,,,,,,,,,,,20.137,,,,,,,,,
V1037 Cas,7.262917,59.571944,1.0,LMXB,XT,2003A&A...404..301R,0.440961,2CXO J002903.0+593419,7.2626752,59.5719451,0.713,2.1232920194829537,2,0.136399,V* V1037 Cas,7.26275,59.5719444444,,,172.0,248.0,00 29 03.06,+59 34 19.0,D,2004ATel..354....1D,LMXB,LXB|N* |Psr|V* |X  |gam,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG+84 17,10.6809167,85.23725,,LM-STAR,F5,1956PMcCO..13a....B,0.29659,2CXO J004243.4+851414,10.6811413,85.2373302,0.865,0.865,2,0.266322,BD+84    12,10.680881288,85.2372594419,0.0,0.0,90.0,27.0,00 42 43.41151,+85 14 14.1340,A,2020yCat.1350....0G,Star,*  |IR |X,0.56,0.89,1.9e-06,3e-06,F5,,6.8449,0.0109,43.85,-0.063,0.013,0.012,90,,,,10.05,9.55,,8.611,8.457,8.39,,,,,
XMMU J004308+411247,10.785875,41.2132222,,CV,AM/DQ::,2005JAD....11....2D,0.976949,2CXO J004308.6+411248,10.7860464,41.213461,0.712,0.712,2,0.435021,RX J0043.1+4112,10.7861958333,41.2134166667,0.2,0.2,90.0,17.0,00 43 08.687,+41 12 48.30,D,2002ApJ...577..738K,XB,CV*|N* |V* |X  |XB*,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0043+4112,10.78625,41.213333,1.0,LMXB,,2003A&A...404..301R,0.718406,2CXO J004308.6+411248,10.7860464,41.213461,0.712,2.1229564291336738,2,0.435021,RX J0043.1+4112,10.7861958333,41.2134166667,0.2,0.2,90.0,17.0,00 43 08.687,+41 12 48.30,D,2002ApJ...577..738K,XB,CV*|N* |V* |X  |XB*,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flo 243,12.8783333,-73.0231389,,LM-STAR,A7V,1972POStr...2....1F,0.214373,2CXO J005130.8-730123,12.878437,-73.0230876,0.734,0.734,2,0.19333,HD   5125,12.878363884,-73.0231368768,0.0,0.0,90.0,6.0,00 51 30.80733,-73 01 23.2928,A,2020yCat.1350....0G,Star,*  |IR |X,-3.22,1.79,-1.07e-05,6e-06,F0,,2.7211,0.0174,19.187,6.028,0.022,0.023,90,,,,11.0,10.79,,9.871,9.731,9.684,,,,,
Flo 475,16.0550833,-73.3182222,,LM-STAR,G9V,1972POStr...2....1F,0.099667,2CXO J010413.1-731905,16.054998,-73.3182351,0.74,0.74,2,0.141954,HD   6551,16.0550782304,-73.3182030932,0.0,0.0,90.0,20.0,01 04 13.21878,-73 19 05.5311,A,2020yCat.1350....0G,Star,*  |IR |PM*|X,27.11,10.76,9.04e-05,3.59e-05,G1V,,7.4506,0.0143,-41.282,-14.48,0.02,0.017,90,,,,11.23,10.51,10.0,9.285,8.9,8.852,,,,,
[GDN2015] SMC361,16.0550833,-73.3182222,,LM-STAR,G1V,2015A&A...578A...3G,0.099667,2CXO J010413.1-731905,16.054998,-73.3182351,0.74,0.74,2,0.141954,HD   6551,16.0550782304,-73.3182030932,0.0,0.0,90.0,20.0,01 04 13.21878,-73 19 05.5311,A,2020yCat.1350....0G,Star,*  |IR |PM*|X,27.11,10.76,9.04e-05,3.59e-05,G1V,,7.4506,0.0143,-41.282,-14.48,0.02,0.017,90,,,,11.23,10.51,10.0,9.285,8.9,8.852,,,,,
V744 And,22.417083,38.702778,1.0,CV,AC,2003A&A...404..301R,0.688138,2CXO J012940.0+384210,22.4169111,38.7029141,0.741,2.1328574729690684,2,0.072223,V* V744 And,22.4169334115,38.7029041348,0.0,0.0,90.0,24.0,01 29 40.06402,+38 42 10.4549,A,2020yCat.1350....0G,CataclyV*,*  |CV*|V* |WD*,,,,,DB,,1.7353,0.4286,-2.174,5.532,0.332,0.262,90,,,,,,,,,,19.66,19.82,20.07,20.24,20.62
AG+06 155,22.8344583,6.3333333,,LM-STAR,F0,1958PMcCO..13b....V,0.371267,2CXO J013120.2+061959,22.8345079,6.3332427,0.912,0.912,2,0.367444,BD+05   200,22.8344631954,6.3333345893,0.0,0.0,90.0,2.0,01 31 20.27117,+06 20 00.0045,A,2020yCat.1350....0G,Star,*  |IR,,,,,F0,,2.2943,0.0213,-19.043,-26.647,0.025,0.014,90,,,,10.51,10.28,,9.516,9.407,9.349,,,,,
NGC 752 213,29.4122917,37.7701111,,LM-STAR,K0III,1955ApJ...121..454R,0.153429,2CXO J015738.9+374612,29.4122594,37.7701452,0.76,0.76,2,0.140748,BD+37   432,29.4122908415,37.7701150199,0.0,0.0,90.0,56.0,01 57 38.94980,+37 46 12.4141,A,2020yCat.1350....0G,Star,*  |IR |SB*|V*,5.8,0.16,1.93e-05,5e-07,G9III,,2.3317,0.0425,10.06,-11.636,0.032,0.052,90,,,,9.98,9.0,,7.263,6.813,6.669,,,,,
TYC 2816-2039-1,29.446375,37.79175,,LM-STAR,F3,2009MNRAS.392..847P,0.134101,2CXO J015747.1+374730,29.4463312,37.7917638,0.759,0.759,2,0.171448,NGC   752   222,29.4463886672,37.7917494559,0.0,0.0,90.0,27.0,01 57 47.13328,+37 47 30.2980,A,2020yCat.1350....0G,Star,*  |IR,3.12,3.24,1.04e-05,1.08e-05,F3.4,,2.2907,0.0318,8.179,-10.818,0.033,0.034,90,,,,11.2,10.9,,10.126,9.985,9.897,,,,,
NGC 752 222,29.446375,37.79175,,LM-STAR,F5,1931MeUpp..52....1J,0.134101,2CXO J015747.1+374730,29.4463312,37.7917638,0.759,0.759,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC 752 222,29.446375,37.79175,,LM-STAR,F3,1939ApJ....89..431E,0.134101,2CXO J015747.1+374730,29.4463312,37.7917638,0.759,0.759,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC 752 222,29.446375,37.79175,,LM-STAR,F2V,1955ApJ...121..454R,0.134101,2CXO J015747.1+374730,29.4463312,37.7917638,0.759,0.759,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC 752 225,29.4564583,37.8205278,,LM-STAR,F8,1939ApJ....89..431E,0.123251,2CXO J015749.5+374914,29.456462,37.8205619,0.724,0.724,2,0.117444,NGC   752   225,29.4564806367,37.8205327871,0.0,0.0,90.0,12.0,01 57 49.55535,+37 49 13.9180,A,2020yCat.1350....0G,Star,*  |IR |X,-4.73,0.21,-1.58e-05,7e-07,F5V,,3.0939,0.0289,-3.611,5.496,0.029,0.034,90,,,,10.69,10.14,,9.119,8.896,8.797,,,,,
ES Cet,30.2175,-9.408889,1.0,CV,AC,2003A&A...404..301R,0.711408,2CXO J020052.2-092431,30.2176779,-9.4087982,0.712,2.1229564291336738,2,0.105533,V* ES Cet,30.2176493934,-9.4087899266,0.0,0.0,90.0,73.0,02 00 52.23585,-09 24 31.6437,A,2020yCat.1350....0G,CataclyV*,*  |CV*|IR |UV |V* |X  |blu,,,,,,,0.5606,0.0677,17.668,-3.156,0.074,0.058,90,,,,16.3,,16.7,16.25,,,16.303,16.662,16.98,17.24,17.538
BD+56 501,34.6243333,57.1508611,,HM-STAR,B0V,1985A&A...147..191F,0.223794,2CXO J021829.8+570902,34.6243791,57.1508041,0.883,0.883,2,0.304794,BD+56   501,34.6243067888,57.1508791312,0.0,0.0,90.0,32.0,02 18 29.83363,+57 09 03.1649,A,2020yCat.1350....0G,BlueSG*,*  |IR |V* |bC*|s*b,,,,,B0.5I,,0.4483,0.0174,-0.648,-1.361,0.012,0.016,90,,,,9.631,9.415,,8.895,8.83,8.824,,,,,
BD+56 517,34.7321667,57.1518611,,HM-STAR,B1.5V,1985A&A...147..191F,0.266231,2CXO J021855.7+570906,34.7322167,57.1517923,0.899,0.899,2,0.177411,BD+56   517,34.7321965898,57.1518403584,0.0,0.0,90.0,39.0,02 18 55.72718,+57 09 06.6253,A,2020yCat.1350....0G,Star,*  |IR,,,,,B1.5III,,0.4519,0.0166,-0.846,-1.107,0.013,0.017,90,,,,10.77,10.441,,9.836,9.81,9.771,,,,,
NGC 869 936,34.7321667,57.1518611,,HM-STAR,B1.5V,1965ApJ...142..979S,0.266231,2CXO J021855.7+570906,34.7322167,57.1517923,0.899,0.899,2,0.177411,BD+56   517,34.7321965898,57.1518403584,0.0,0.0,90.0,39.0,02 18 55.72718,+57 09 06.6253,A,2020yCat.1350....0G,Star,*  |IR,,,,,B1.5III,,0.4519,0.0166,-0.846,-1.107,0.013,0.017,90,,,,10.77,10.441,,9.836,9.81,9.771,,,,,
NGC 869 950,34.7367917,57.1808889,,HM-STAR,B2V,1965ApJ...142..979S,0.174291,2CXO J021856.8+571051,34.736838,57.1808475,0.782,0.782,2,0.170622,NGC   869   950,34.7368095989,57.1808923256,0.0,0.0,90.0,32.0,02 18 56.83430,+57 10 51.2124,A,2020yCat.1350....0G,Star,*  |IR |X,,,,,B2.0III,,0.3934,0.0189,-0.826,-1.24,0.015,0.019,90,,,,11.653,11.381,,10.563,10.48,10.462,,,,,
[SHM2002] 235,34.7367917,57.1808889,,HM-STAR,B2IV,2002ApJ...576..880S,0.174291,2CXO J021856.8+571051,34.736838,57.1808475,0.782,0.782,2,0.170622,NGC   869   950,34.7368095989,57.1808923256,0.0,0.0,90.0,32.0,02 18 56.83430,+57 10 51.2124,A,2020yCat.1350....0G,Star,*  |IR |X,,,,,B2.0III,,0.3934,0.0189,-0.826,-1.24,0.015,0.019,90,,,,11.653,11.381,,10.563,10.48,10.462,,,,,
[SHM2002] 40,34.7885,57.1351111,,HM-STAR,B0.5V,2002ApJ...576..880S,0.279269,2CXO J021909.2+570806,34.788604,57.1350579,0.814,0.814,2,0.210306,BD+56   525,34.7885169115,57.1350922402,0.0,0.0,90.0,34.0,02 19 09.24406,+57 08 06.3321,A,2020yCat.1350....0G,Star,*  |IR,-36.6,,-0.0001221,,B0.5V,,0.401,0.0152,-0.697,-1.094,0.011,0.015,90,,,,9.63,9.286,,8.391,8.292,8.32,,,,,
[OWK2005] 10032,36.367125,62.0943333,,YSO,O8/8.5V,2005AJ....129..393O,0.478856,2CXO J022528.0+620539,36.3669142,62.0942441,0.785,0.785,2,0.276427,2MASS J02252810+6205395,36.3670499017,62.094287255,0.0,0.0,90.0,8.0,02 25 28.09198,+62 05 39.4341,A,2020yCat.1350....0G,YSO,*  |IR |X  |Y*O,,,,,O8.2V,,,,0.427,-2.647,0.404,0.462,90,,,,16.527,14.557,,9.594,8.898,8.485,,,,,
[KKB2015] 25,36.3857917,62.1165833,,YSO,B1/2V,2015ApJ...813...42K,0.38475,2CXO J022532.5+620659,36.3857309,62.1164803,0.748,0.748,2,0.205084,2MASS J02253258+6206596,36.3857505698,62.1165365201,0.0,0.0,90.0,10.0,02 25 32.58014,+62 06 59.5315,A,2020yCat.1350....0G,YSO,*  |IR |X  |Y*O,,,,,B0.5V-B2V,,,,0.197,-1.385,0.271,0.309,90,,,,,18.65,,11.693,10.49,9.784,,,,,
AG+62 203,36.9012083,62.3334722,,LM-STAR,F5,1956PMcCO..13a....B,0.359438,2CXO J022736.3+622000,36.9012833,62.3335658,0.841,0.841,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD+61 413,36.9012083,62.3334722,,LM-STAR,F5,1978A&AS...32...25R,0.359438,2CXO J022736.3+622000,36.9012833,62.3335658,0.841,0.841,2,0.350404,BD+61   413,36.9012394153,62.3334706223,0.0,0.0,90.0,7.0,02 27 36.29746,+62 20 00.4942,A,2020yCat.1350....0G,Star,*  |IR |X  |Y*O,2.23,2.24,7.4e-06,7.5e-06,F4V,,3.3205,0.0153,-5.222,4.442,0.013,0.016,90,,,,10.02,9.44,,8.181,7.96,7.881,,,,,
IC 1805  110,38.03773111,61.44172306,,YSO,Fd_c,2020AJ....160..120J,0.358075,2CXO J023209.1+612630,38.0379384,61.4417144,0.941,0.941,2,0.345563,IC 1805  110,38.0377386756,61.4417045091,0.0,0.0,90.0,8.0,02 32 09.05728,+61 26 30.1362,A,2020yCat.1350....0G,YSO,*  |IR |X  |Y*?|Y*O,,,,,A8III,,1.0961,0.027,1.383,-0.833,0.025,0.028,90,,,,14.04,13.26,,11.481,11.217,11.125,,,,,
2MASS J02323020+6117489,38.12584,61.29692111,,YSO,GKd_c,2020AJ....160..120J,0.848274,2CXO J023230.3+611748,38.1262848,61.2968217,0.854,0.854,2,0.811164,2MASS J02323020+6117489,38.1258730259,61.2969296829,0.0,0.0,90.0,6.0,02 32 30.20953,+61 17 48.9469,A,2020yCat.1350....0G,YSO,*  |IR |X  |Y*O,,,,,,,3.6764,0.0257,7.45,-25.121,0.024,0.023,90,,,,11.18,10.59,,9.256,8.921,8.849,,,,,
IC 1805 158,38.1981667,61.45,,YSO,B1.5V,1999A&AS..136..313S,0.233312,2CXO J023247.5+612700,38.1982908,61.4500262,0.725,0.725,2,0.226899,IC 1805  158,38.198172911,61.4499979506,0.0,0.0,90.0,15.0,02 32 47.56150,+61 26 59.9926,A,2020yCat.1350....0G,YSO,*  |IR |X  |Y*?|Y*O,-69.9,,-0.0002331,,O9.5-B0.5IV-V,,0.4759,0.0123,-0.973,-0.723,0.012,0.012,90,,,,13.73,12.76,,10.516,10.187,10.02,,,,,
IC 1805 158,38.1981667,61.45,,HM-STAR,O9.5/B0.5IV/V,2019ApJ...873...66R,0.233312,2CXO J023247.5+612700,38.1982908,61.4500262,0.725,0.725,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
