name,name_cat,ra_cat,dec_cat,e_Pos,Class,SubClass,ref,sep,ra,dec,r0,r1,PA,PU,nbref,coo_bibcode,rare-type,remove_regions,GLAT,GLON,comment
2CXO J043715.8-471508,PSR J0437-47,69.3158310757,-47.252373431,0.0,NS,*|Psr|UV|WD*|X|gam,SIMBAD,0.238414,69.3159213,-47.2523987,0.7099999785423279,0.7099999785423279,0.0,0.7099999785423279,839.0,2020yCat.1350....0G,1,,253.39430198893515,-41.963617706574574,
2CXO J043741.6+505646,G17515143788934,69.4234731,50.9461836,,LM-STAR,dM2,LAMOST-DR8-M,0.314363,69.423344,50.9462154,0.951,0.855,71.9,0.951,,,4,,154.68859595226536,2.5864392800511613,
2CXO J043927.5+072447,G16733016481112,69.8648914,7.4132119,,LM-STAR,G2,LAMOST-DR8-AFGK,0.259184,69.8648962,7.4132837,0.774,0.752,74.33,0.774,,,4,,189.4650957832801,-24.946198633284887,
2CXO J043931.3+072601,G16733016581848,69.880876,7.4335092,,LM-STAR,G9,LAMOST-DR8-AFGK,0.549508,69.8807964,7.4336399,0.836,0.798,116.7,0.836,,,4,,189.4564855100997,-24.921662740810955,
2CXO J045400.8+024952,G16542652524294,73.503668,2.831405,,LM-STAR,dM0,LAMOST-DR8-M,0.162576,73.5037095,2.831387,0.72,0.717,49.14,0.72,,,4,,195.86694607605128,-24.40871601589194,
2CXO J050106.7+451634,J0501+4516,75.27816666666666,45.276088888888886,0.15,NS,"AXP,NRAD",2005AJ....129.1993M,0.165304,75.2781675,45.2761348,0.71,0.71,91.5,1.050761628534274,,,1,,161.54665956406566,1.9489563209107976,
2CXO J051600.7+245921,,79.00303306,24.98944111,,LM-STAR,Fd_b,2020AJ....160..120J,0.324758,79.0030067,24.9893541,0.945,0.867,122.3,0.945,,,4,,179.69877970075302,-7.679180628500559,
2CXO J053426.0+215542,L16734336418970,83.608499,21.928529,,LM-STAR,dM2,LAMOST-DR8-M,0.137289,83.608495,21.928491,0.736,0.736,0.0,0.736,,,4,,184.61820981130853,-5.849660736697715,
2CXO J053747.4-691019,J0537-6910,84.44756666666666,-69.17218888888888,1.65,NS,NRAD,2005AJ....129.1993M,0.063381,84.4475209,-69.1721822,0.71,0.71,33.33,2.665351759149249,,,1,|LMC,279.55947714805575,-31.74467474394457,
2CXO J053907.7+261737,G16612524309050,84.782102,26.293782,,LM-STAR,dM2,LAMOST-DR8-M,0.023512,84.782101,26.2937885,0.746,0.728,85.45,0.746,,,4,,181.4898070736162,-2.613697890024273,
2CXO J053939.1-033344,G9359489853699,84.913161,-3.5622002,,LM-STAR,dM1,LAMOST-DR8-M,0.22211,84.9131674,-3.5622616,0.732,0.72,100.6,0.732,,,4,,207.82056289351996,-17.579572194228398,
2CXO J055207.0+323120,G16617835213940,88.029299,32.522081,,LM-STAR,F5,LAMOST-DR8-AFGK,0.590745,88.0292182,32.5222303,0.903,0.884,117.4,0.903,,,4,,177.6426274101227,3.0423265416707714,
2CXO J055209.4+323626,NGC 2099 313,88.0394167,32.6073056,,LM-STAR,A0,1954StoAn..18a...1L,0.627747,88.0392148,32.607344,0.925,0.797,171.5,0.925,,,4,,177.57347120632198,3.092788780794759,
2CXO J061805.9+222540,G16168885381910,94.5248069,22.4280331,,LM-STAR,A1,LAMOST-DR8-AFGK,0.215783,94.5248511,22.4279893,0.748,0.743,0.8603,0.748,,,4,,189.27568371120557,3.136705631992169,
2CXO J063344.1+063230,PSR J0633+0632,98.4339,6.5415222222,1.3,NS,Psr|gam,SIMBAD,0.932923,98.4339294,6.5417797,0.7120000123977661,0.7110000252723694,0.2524000108242035,2.695726992418635,69.0,2015ApJ...814..128K,1,,205.0941571990393,-0.9327232902637078,
2CXO J064525.9+211709,G16178507168438,101.35824,21.286029,,LM-STAR,dM0,LAMOST-DR8-M,0.180914,101.3582351,21.285979,0.772,0.772,0.0,0.772,,,4,,193.1934166831153,8.26819502201951,
2CXO J065053.5+412922,G16225376951609,102.72332,41.489528,,LM-STAR,F9,LAMOST-DR8-AFGK,0.676443,102.7233265,41.4897158,0.813,0.76,124.9,0.813,,,4,,174.68688928564532,17.487547772678692,
2CXO J065955.4+141808,G16203883076750,104.98112,14.302361,,LM-STAR,dM4,LAMOST-DR8-M,0.264813,104.9811438,14.3024309,0.901,0.837,71.12,0.901,,,4,,201.06346777289556,8.312601750011552,
2CXO J072906.3+205536,G16165205242357,112.2765219,20.9268306,,LM-STAR,G3,LAMOST-DR8-AFGK,0.204896,112.2765826,20.926836,0.858,0.848,160.7,0.858,,,4,,197.8569182181953,17.390407080213468,
2CXO J072908.2+205609,G16165210423984,112.28453,20.935997,,LM-STAR,dM0,LAMOST-DR8-M,0.10665,112.284545,20.9360231,0.717,0.712,6.468,0.717,,,4,,197.85111355032623,17.400848752315337,
2CXO J074648.8+390201,G16271924745216,116.70342,39.033901,,LM-STAR,K5,LAMOST-DR8-AFGK,0.263627,116.7034134,39.033828,0.753,0.736,179.4,0.753,,,4,,180.6887999124253,26.90976925879967,
2CXO J082157.3-430017,J0821-4300,125.48902208333334,-43.00474277777778,0.0465,NS,NRAD,2005AJ....129.1993M,0.357167,125.488948,-43.0048259,0.71,0.71,0.0,0.8307225770376052,,,1,,260.38158987693106,-3.47325475098498,
2CXO J091215.2+345644,G16488827481087,138.063793,34.945674,,LM-STAR,K7,LAMOST-DR8-AFGK,0.270269,138.0637023,34.9456844,0.957,0.87,136.4,0.957,,,4,,189.2104295979296,42.980524202924336,
2CXO J091409.3+400655,G16485820686214,138.5391007,40.1155304,,LM-STAR,dM7,LAMOST-DR8-M,0.083655,138.5390797,40.1155136,0.773,0.749,160.9,0.773,,,4,,182.14882967904256,43.69147818538797,
2CXO J093457.9+170614,G16315606259581,143.741608,17.104097,,LM-STAR,dM5,LAMOST-DR8-M,0.385909,143.7416439,17.1039954,0.75,0.725,20.03,0.75,,,4,,214.793991789171,43.69723419634808,
2CXO J093630.5+232509,G16318812647595,144.12748,23.419449,,LM-STAR,K5,LAMOST-DR8-AFGK,0.495233,144.1274949,23.4193121,0.736,0.731,143.4,0.736,,,4,,206.50026843255884,46.04589708809891,
2CXO J095010.1+275926,G16427203849437,147.5423605,27.9908743,,LM-STAR,K7,LAMOST-DR8-AFGK,0.321088,147.5424305,27.99081,0.796,0.759,112.5,0.796,,,4,,200.8346415225488,50.05171737552113,
2CXO J095045.7+561526,G15855565125228,147.6907484,56.2572421,,LM-STAR,dM5,LAMOST-DR8-M,0.083166,147.6907203,56.2572251,0.814,0.784,147.9,0.814,,,4,,157.98452515531386,46.694013708253664,
2CXO J103104.8+350652,,157.77025111,35.11468111,,LM-STAR,GKd_b|Binary,2020AJ....160..120J,0.565822,157.7701381,35.114554,0.826,0.758,160.2,0.826,,,4,,189.20040711288652,59.09161406894632,
2CXO J104046.0+395925,,160.19184111,39.99038694,,LM-STAR,Md_b,2020AJ....160..120J,0.210321,160.1919118,39.9904088,0.843,0.824,47.11,0.843,,,4,,179.0338365803182,60.11743948542178,
2CXO J105052.7+132603,G15665808310055,162.7197786,13.4343772,,LM-STAR,K7,LAMOST-DR8-AFGK,0.092007,162.7197738,13.4344023,0.747,0.736,30.44,0.747,,,4,,232.8304416834948,58.70938119899416,
2CXO J111901.6-613106,2MASS J11190159-6131056,169.756625,-61.5182222,,HM-STAR,O9.5/B0I/III,2020ApJS..247...17R,0.471429,169.7567442,-61.5183402,0.866,0.748,21.8,0.866,,,4,,292.1467122206373,-0.5969012566098196,
2CXO J112332.9+535311,,170.88716389,53.886345,,LM-STAR,GKd_b|Binary,2020AJ....160..120J,0.434169,170.8871403,53.8864648,0.824,0.824,0.0,0.824,,,4,,148.07979530308037,58.73915922092963,
2CXO J112401.1-365319,J1124-3653,171.00465,-36.88863888888889,0.045,NS_BIN,HE,2005AJ....129.1993M,0.175246,171.0047099,-36.8886476,0.725,0.722,113.5,0.8400148808205721,,,1,,284.0945490541625,22.76473559544456,
2CXO J112824.0-011833,G10453230373614,172.100354,-1.309051,,LM-STAR,dM5,LAMOST-DR8-M,0.745865,172.1002734,-1.3092419,0.807,0.734,144.1,0.807,,,4,,264.5024223896549,55.24253486710519,
2CXO J122745.2+130012,G14889231291975,186.938639,13.0035547,,LM-STAR,G8,LAMOST-DR8-AFGK,0.240397,186.9385803,13.0035202,0.827,0.775,141.7,0.827,,,4,,280.3490538361374,74.82715818416403,
2CXO J122859.9+033112,G14849527540522,187.2496097,3.5200743,,LM-STAR,dM5,LAMOST-DR8-M,0.088867,187.2496121,3.5200497,0.893,0.738,140.2,0.893,,,4,,289.1674928262884,65.79033036172906,
2CXO J122912.2+752723,G14595751111747,187.3004114,75.456544,,LM-STAR,dM0,LAMOST-DR8-M,0.599923,187.3009509,75.456447,0.892,0.809,25.87,0.892,,,4,,124.79566703884385,41.59124671435798,
2CXO J123521.2+121404,G14887048183763,188.838748,12.234556,,LM-STAR,dM5,LAMOST-DR8-M,0.160496,188.8387286,12.2345156,0.724,0.713,1.399,0.724,,,4,,287.9425957092146,74.63629335445624,
2CXO J124846.4-623743,CXOU J124846.4-623743,192.1935,-62.6286388889,,CV,X,SIMBAD,0.240977,192.1935855,-62.6286931,0.984000027179718,0.8619999885559082,17.799999237060547,0.984000027179718,2.0,2012ApJ...754..145T,4,,302.6257805346583,0.241471177663278,
2CXO J131148.0-624139,,197.95025889,-62.69431306,,LM-STAR,GKd_a|Binary,2020AJ....160..120J,0.335454,197.9501291,-62.6942414,0.807,0.761,177.5,0.807,,,4,,305.2647806315921,0.085236455469271,
2CXO J132426.6-620119,SAX J1324.4-6200,201.11125,-62.0220833333,,HMXB,HXB|X|gam,SIMBAD,0.091604,201.111198,-62.0220906,0.7269999980926514,0.7170000076293945,87.06999969482422,0.7269999980926514,20.0,2009MNRAS.394.1597K,1,,306.79282957935584,0.6019723014546094,
2CXO J132447.8+290335,G15016528065037,201.1993537,29.0597702,,LM-STAR,dM2,LAMOST-DR8-M,0.109403,201.1993878,29.0597762,0.772,0.741,141.6,0.772,,,4,,49.58315512631616,82.39543222335357,
2CXO J140514.4-611827,2MASS J14051441-6118282,211.310065,-61.307838,0.08,HMXB,HXB|IR|NIR|X|gam,SIMBAD,0.439984,211.3101229,-61.307719,0.9739999771118164,0.7609999775886536,137.10000610351562,0.9870541805867694,34.0,2003yCat.2246....0C,1,,311.67184870180193,0.3053888451499945,
2CXO J141330.2-620535,PSR J1413-6205,213.3755625,-62.0936166667,1.461,NS,Psr|gam,SIMBAD,1.202486,213.3759089,-62.0933246,0.921999990940094,0.8569999933242798,143.89999389648438,3.064011746598491,41.0,2015ApJ...814..128K,1,,312.3738466176368,-0.7354125055329381,
2CXO J141908.3+532550,G15154611438856,214.784616,53.430774,,LM-STAR,dM5,LAMOST-DR8-M,0.591156,214.7845858,53.4306108,0.714,0.713,29.68,0.714,,,4,,97.25639189816988,59.105763691068645,
2CXO J142111.4+414735,G15346530447805,215.297771,41.793325,,LM-STAR,K5,LAMOST-DR8-AFGK,0.424766,215.2977457,41.7932085,0.894,0.787,67.47,0.894,,,4,,77.35591391409517,66.51830328028234,
2CXO J142112.1-624156,2S 1417-624,215.3005894,-62.6989987,,HMXB,"P, T",2006A&A...455.1165L,0.000121,215.3005894,-62.6989987,0.717,0.715,13.44,0.717,,,1,,313.0196662489082,-1.5986150743800578,
2CXO J143105.2+341444,G15370542814776,217.771879,34.245733,,LM-STAR,K7,LAMOST-DR8-AFGK,0.534624,217.7717335,34.2456458,0.849,0.793,46.21,0.849,,,4,,57.47139144601467,67.49423507496955,
2CXO J144812.1+182516,G15253762677318,222.0508157,18.42136,,LM-STAR,dM4,LAMOST-DR8-M,0.43377,222.0506922,18.4213318,0.903,0.838,121.9,0.903,,,4,,21.15967182237082,61.79185215585923,
2CXO J151519.1+552944,G14741356261533,228.829872,55.495834,,LM-STAR,dM2,LAMOST-DR8-M,0.29932,228.8297252,55.4958325,0.792,0.759,78.09,0.792,,,4,,90.53645865088596,51.60868967286677,
2CXO J151535.9+552832,G14741175282628,228.89988,55.475669,,LM-STAR,dM2,LAMOST-DR8-M,0.2802,228.8998319,55.4755961,0.897,0.747,44.3,0.897,,,4,,90.47454677667648,51.58614226208373,
2CXO J155217.0+200114,G15207264903615,238.0708561,20.0209122,,LM-STAR,dM0,LAMOST-DR8-M,0.385985,238.0708548,20.020805,0.945,0.858,72.66,0.945,,,4,,33.17877162683724,48.17729346409386,
2CXO J160100.7+552706,,240.25325806,55.45176306,,LM-STAR,GKd_a|Binary,2020AJ....160..120J,0.21955,240.2532923,55.4517053,0.738,0.717,48.42,0.738,,,4,,86.13362615377044,45.8269521649784,
2CXO J160213.9+155940,G14482582730767,240.5582394,15.9944566,,LM-STAR,F6,LAMOST-DR8-AFGK,0.451374,240.558109,15.9944548,0.814,0.755,43.93,0.814,,,4,,28.92689957983628,44.54303165844762,
2CXO J160252.0+524422,G15283582545875,240.717117,52.739664,,LM-STAR,dM0,LAMOST-DR8-M,0.333006,240.7169647,52.7396567,0.734,0.731,57.24,0.734,,,4,,82.29600670498473,46.42380094944067,
2CXO J161320.5+564602,G14753844144789,243.335614,56.767496,,LM-STAR,K2,LAMOST-DR8-AFGK,0.392341,243.3355192,56.7674002,0.721,0.714,49.36,0.721,,,4,,87.09767148789497,43.77374223749777,
2CXO J162514.2+154522,PKS 1622+158,246.309583,15.756389,,AGN,Q,2010A&A...518A..10V,0.288689,246.3095307,15.7563265,0.711,0.71,85.31,0.711,,,4,,31.474393427550147,39.33953013849189,
2CXO J162806.9-320548,J1628-3205,247.0291666666667,-32.096916666666665,0.0,NS_BIN,HE,2005AJ....129.1993M,0.130738,247.0291274,-32.0969312,0.714,0.712,95.15,0.714,,,1,,347.42775820986054,11.482371290695683,
2CXO J165108.1+045933,3C 348.0,252.784167,4.9925,,AGN,A,2010A&A...518A..10V,0.675856,252.7839812,4.9925316,0.711,0.711,0.0,0.711,,,4,,23.048981261747173,28.94694327950282,
2CXO J165839.3-532406,J1658-5324,254.663931625,-53.40194527777778,0.00135,NS,HE,2005AJ....129.1993M,0.090119,254.6639668,-53.4019317,1.048,1.048,0.0,1.0505731768896445,,,1,,334.8688938742671,-6.6254233135251965,
2CXO J171419.8-383022,J1714-3830,258.5825,-38.506388888888885,0.0,NS,NRAD[plca18],2005AJ....129.1993M,0.829921,258.5826951,-38.5062162,1.19,0.945,116.5,1.19,,,1,,348.4394625286404,0.1402242501404776,
2CXO J171809.8-371851,J1718-3718,259.540942,-37.3143054,11.0,NS,,2005AJ....129.1993M,6.3e-05,259.540942,-37.3143054,0.712,0.711,6.399,6.671352486565224,,,1,,349.84885626975154,0.2163907143484575,
2CXO J172419.0+505740,3C 356.0,261.079583,50.961111,,AGN,Q,2010A&A...518A..10V,0.43643,261.0794029,50.9611538,0.736,0.731,163.2,0.736,,,4,,77.92316334716091,34.205513585002706,
2CXO J173233.5-313123,J1732-3131,263.13975,-31.523055555555555,2.0,NS,HE,2005AJ....129.1993M,0.95562,263.1397954,-31.5233182,0.716,0.715,135.3,2.9176456261856063,,,1,|GalacticCenter,356.30723896254614,1.0069479629735851,
2CXO J174157.2-205412,J1741-2054,265.48868,-20.903278,0.045,NS,HE,2005AJ....129.1993M,0.870608,265.4886964,-20.9035194,0.71,0.71,177.5,0.8271033792700886,,,1,|GalacticCenter,6.42186563641857,4.906408750843315,
2CXO J174507.0+154952,G14327148823622,266.279339,15.831216,,LM-STAR,G1,LAMOST-DR8-AFGK,0.548018,266.279403,15.8313552,0.979,0.826,77.18,0.979,,,4,,40.20095014137883,21.637006310705605,
2CXO J174618.4-220946,AT2021kwb,266.5771083333333,-22.16305,,CV,Cataclysmic_Variable,2020RNAAS...4..219J,1.245245,266.5767726,-22.1628984,2.258,1.458,104.8,2.258,,,1,|GalacticCenter,5.87109890683263,3.386985847695597,
2CXO J174722.7-280914,J1747-2809,266.845,-28.154166666666665,0.5,NS,,2005AJ....129.1993M,0.305973,266.8449053,-28.1541506,0.82,0.769,140.5,1.634747686953555,,,1,|GalacticCenter,0.868976811826493,0.0760153883855795,
2CXO J174726.1-295957,SLX 1744-299,266.85791667,-29.99938889,,LMXB,B,2007A&A...469..807L,2.714319,266.8587871,-29.9994039,0.768,0.768,0.0,0.768,,,1,|GalacticCenter,359.2965666633966,-0.8898088655620915,
2CXO J180259.9-300016,,270.74978889,-30.00467889,,LM-STAR,Md_d|Binary,2020AJ....160..120J,0.185608,270.7498356,-30.0046469,0.945,0.861,61.78,0.945,,,4,|GalacticCenter,0.989949058986374,-3.803835487323278,
2CXO J180340.9-001741,G12094828081068,270.920698,-0.294928,,LM-STAR,gM6,LAMOST-DR8-M,0.072009,270.9206781,-0.2949257,0.726,0.722,131.8,0.726,,,4,|NGC_6535,27.159171401026686,10.47225580565596,
2CXO J180430.4-273933,J1804-2739,271.126667,-27.658889,1.0,CV,NL,2003A&A...404..301R,1.595424,271.1269522,-27.6592531,0.715,0.713,82.92,2.1239644535631945,,,1,|GalacticCenter,3.2012392554928626,-2.945221305803845,
2CXO J181431.0-170925,V5512 Sgr,273.629583,-17.157222,1.0,LMXB,AS,2003A&A...404..301R,0.485575,273.6294723,-17.1571383,1.227,1.227,0.0,2.346386370570712,,,1,,13.51587373425402,0.1081542126636988,
2CXO J181642.7-161322,SWIFT J1816.7-1613,274.17775,-16.2231666667,1.0,HMXB,HXB|NIR|Psr|X|XB*|ev|gam,SIMBAD,1.483183,274.1780035,-16.2228343,0.765999972820282,0.765999972820282,0.0,2.1416713002607737,13.0,2008ATel.1457....1H,1,,14.58765338385483,0.0915019896965252,
2CXO J182154.8-134726,IGR J18219-1347,275.4784166667,-13.79075,0.64,HMXB,HXB|X|XB*|gam,SIMBAD,0.165602,275.4783711,-13.7907374,0.7450000047683716,0.7279999852180481,136.89999389648438,1.4810216092633064,14.0,2013ApJ...775L..24L,1,,17.324546685192175,0.1342861992421061,
2CXO J183327.7-103524,ATO J278.3657-10.5901,278.3656953101,-10.5901221057,0.0,HMXB,*|Be*|Em*|HXB|IR|V*|X,SIMBAD,0.104355,278.3657092,-10.5900965,0.7099999785423279,0.7099999785423279,95.11000061035156,0.7099999785423279,24.0,2020yCat.1350....0G,1,,21.47071101211689,-0.8742485151266062,
2CXO J184625.8+091949,PSR J1846+0919,281.6077666667,9.330275,1.08,NS,Psr|gam,SIMBAD,0.803,281.6076868,9.3304837,0.7919999957084656,0.7599999904632568,122.0999984741211,2.300622522971165,28.0,2015ApJ...814..128K,1,,40.693423315659295,5.342761253722565,
2CXO J185843.6+032606,XTE J1858+034,284.6817917,3.434777778,,LMXB,"HMXB (Be, P, QPO, T)",INTEGRAL General Reference Catalog,0.929854,284.6817879,3.435036,0.74,0.731,170.7,0.74,,,1,,36.81953035147697,-0.0532647393070463,
2CXO J192642.3+413423,G14087207986824,291.676513,41.573158,,LM-STAR,F9,LAMOST-DR8-AFGK,0.45333,291.6763486,41.5731311,0.996,0.836,7.052,0.996,,,4,,73.94181341572605,11.567759456944124,
2CXO J193437.7+302948,G14038716700475,293.65727,30.4967692,,LM-STAR,F0,LAMOST-DR8-AFGK,0.168292,293.6573222,30.4967565,0.719,0.714,177.6,0.719,,,4,,64.75521399872815,5.033555957600212,
2CXO J193938.5+213459,B1937+21,294.91067176666667,21.58309047222222,4e-05,NS,HE[tst+01],2005AJ....129.1993M,0.264614,294.9106719,21.583164,0.711,0.711,82.9,0.7111125086791823,,,1,,57.50895676127171,-0.2895638823142992,
2CXO J200509.2+322201,G14269065690796,301.2886656,32.3668369,,LM-STAR,gM3,LAMOST-DR8-M,0.57879,301.2886087,32.3669903,0.822,0.768,30.36,0.822,,,4,,69.67401619666255,0.3704378156231099,
2CXO J201536.0+370458,MGHT 4,303.9001667,37.0827222,,CV,CV,2005JAD....11....2D,0.311987,303.9001331,37.0828046,0.801,0.768,13.9,0.801,,,1,,74.79651793450626,1.1478231453778711,
2CXO J202001.8+402602,L14246673701886,305.007879,40.434171,,LM-STAR,A2,LAMOST-DR8-AFGK,0.613053,305.0077327,40.4340421,0.754,0.717,16.6,0.754,,,4,,78.05685596587637,2.3124640921132675,
2CXO J203150.7+400956,G14246709161993,307.961319,40.165891,,LM-STAR,K1,LAMOST-DR8-AFGK,0.463546,307.9614646,40.1658262,0.778,0.765,170.6,0.778,,,4,,79.1418681683583,0.3200595037062515,
2CXO J203309.1+411343,Schulte 47,308.2881667,41.2287222,,HM-STAR,OB,1956ApJ...124..530S,0.219428,308.2881041,41.2287609,0.724,0.719,11.62,0.724,,,4,,80.14441508637425,0.7515054909552641,
2CXO J204710.2+105307,J2047+1053,311.79269166666666,10.8855,0.045,NS_BIN,HE,2005AJ....129.1993M,0.047088,311.7927039,10.8855053,0.768,0.752,138.9,0.8773961477006837,,,1,,57.0462612752012,-19.676478231841525,
2CXO J205601.1+315743,G14283685245867,314.004874,31.961959,,LM-STAR,G3,LAMOST-DR8-AFGK,0.277032,314.0047833,31.9619585,0.896,0.742,90.23,0.896,,,4,,75.68182147076193,-8.577664223582662,
2CXO J215458.3+165527,HLF 2 +16 2,328.7432083,16.9244444,,LM-STAR,G2,1966ApJS...12..391P,0.423533,328.7432962,16.9243621,0.953,0.785,121.5,0.953,,,4,,73.60461405977708,-28.589761014874288,
2CXO J221421.5-165352,,333.59001306,-16.89809389,,LM-STAR,Md_a|Binary,2020AJ....160..120J,0.396542,333.5899475,-16.8980034,0.769,0.738,13.96,0.769,,,4,,40.370966808266914,-52.35401614016082,
2CXO J222552.6+653535,PSR B2223+65,336.4681666667,65.5927222222,0.124,NS,Psr|Rad|X,SIMBAD,2.278114,336.4693337,65.593132,0.7160000205039978,0.7160000205039978,0.0,0.7577334817478539,312.0,1999A&AS..136..571H,1,,108.63708528074991,6.845532924609684,
2CXO J222552.8+653536,B2224+65,336.47026125,65.59343638888889,0.0045,NS,,2005AJ....129.1993M,0.145278,336.4703407,65.5934599,0.716,0.714,39.47,0.728461392250818,,,1,,108.63761582555574,6.845589331094833,
2CXO J222933.6+305758,G14205773944342,337.390401,30.96631,,LM-STAR,G3,LAMOST-DR8-AFGK,0.097433,337.3903835,30.9663325,0.712,0.712,0.0,0.712,,,4,,90.27682374832897,-22.761871449433,
2CXO J223827.9+590343,PSR J2238+5903,339.6170375,59.0620472222,2.429,NS,Psr|gam,SIMBAD,1.056084,339.6164826,59.0619788,0.9589999914169312,0.8500000238418579,36.900001525878906,4.951751708591382,28.0,2015ApJ...814..128K,1,,106.56182575822316,0.4831780807558271,
2CXO J224652.8-004842,G12664553737368,341.72008,-0.811713,,LM-STAR,K7,LAMOST-DR8-AFGK,0.268193,341.7201388,-0.8117587,0.838,0.765,124.3,0.838,,,4,,69.07391779459496,-50.186736504364255,
2CXO J230631.0+622831,[B55b] 1125,346.6293333,62.4753611,,LM-STAR,F8,1955IzKry..14....3B,0.367226,346.6295192,62.4754161,0.89,0.781,36.98,0.89,,,4,,111.13884326824194,2.0306615912566057,
2CXO J232215.0+194418,G13451267246481,350.562909,19.738405,,LM-STAR,G7,LAMOST-DR8-AFGK,0.240577,350.5628518,19.7384446,0.951,0.817,70.7,0.951,,,4,,95.82599185205308,-38.39396683636805,
