name_cat,ra_cat,dec_cat,e_Pos,Class,SubClass,ref,sep,name,ra,dec,r0,PU,S/N,remove_code,_r_simbad,main_id,ra_simbad,dec_simbad,coo_err_maj,coo_err_min,coo_err_angle,nbref,ra_sexa,dec_sexa,coo_qual,coo_bibcode,main_type,other_types,radvel,radvel_err,redshift,redshift_err,sp_type,morph_type,plx,plx_err,pmra,pmdec,pm_err_maj,pm_err_min,pm_err_pa,size_maj,size_min,size_angle,B,V,R,J,H,K,u,g,r,i,z,remove_4,Gal_Long,Gal_Lat
3C   9.0,5.105,15.681667,,AGN,Q,2010A&A...518A..10V,0.668274,2CXO J002025.2+154054,5.1050842,15.681834,0.711,0.711,23.668,0,0.177105,2C   26,5.1050965294,15.6818817422,0.0,0.0,90.0,331.0,00 20 25.22317,+15 40 54.7743,A,2020yCat.1350....0G,BLLac,*|BLL|G|IR|QSO|Rad|X|blu,240511.905,,2.019,,,,0.0687,0.2021,-0.111,-0.055,0.122,0.106,90,,,,17.92,17.62,,16.169,15.637,14.734,17.849,17.663,17.444,17.184,16.997,0,112.04721685720669,-46.53333433144913
IRAS 00182-7112,5.144583,-70.924167,,AGN,A,2010A&A...518A..10V,0.633515,2CXO J002034.6-705526,5.1444837,-70.923994,0.716,0.716,10.164,4,0.632557,IRAS F00183-7111,5.1445833333,-70.9241666667,,,172.0,129.0,00 20 34.7,-70 55 27,D,2010A&A...518A..10V,Seyfert_2,AGN|IR|Rad|Sy2|cm,82624.435,,0.326999,,,,,,,,,,,,,,,20.6,,,,,,,,,,1,306.552249338425,-45.98671912552119
QSO J0020+287,5.157917,28.708889,,AGN,Q,2010A&A...518A..10V,0.448078,2CXO J002037.9+284231,5.1580141,28.7087982,0.723,0.723,10.886,0,0.373376,SDSS J002037.93+284231.3,5.1580487072,28.7086990255,0.0,0.0,90.0,9.0,00 20 37.93169,+28 42 31.3165,A,2020yCat.1350....0G,Seyfert_1,*|Q?|QSO|Sy1,117787.744,,0.514707,,,,0.226,0.3938,0.393,0.182,0.311,0.269,90,,,,,19.5,,,,,19.716,19.404,19.388,19.045,18.972,0,114.8122595502805,-33.67679119820692
Q 0019+0022A,5.420833,0.644722,,AGN,A,2010A&A...518A..10V,0.598681,2CXO J002140.9+003841,5.4208244,0.6448881,0.863,0.863,11.003,0,0.28193,LBQS 0019+0022A,5.4208954638,0.6449210186,0.001,0.0,90.0,34.0,00 21 41.01491,+00 38 41.7157,A,2020yCat.1350....0G,QSO,*|AGN|IR|QSO|Rad,78361.042,25.482,0.306816,8.5e-05,,,,,-0.698,0.311,0.683,0.543,90,,,,18.99,18.54,,16.512,15.653,14.651,19.247,19.055,18.669,18.458,17.976,0,107.28293198634233,-61.31954045555268
Q 0019-0000,5.541667,0.274722,,AGN,Q,2010A&A...518A..10V,0.611178,2CXO J002209.9+001629,5.5415126,0.2747926,0.963,0.963,15.77,0,0.118717,2XMMi J002209.9+001629,5.5414850351,0.2748107014,0.0,0.0,90.0,45.0,00 22 09.95641,+00 16 29.3185,A,2020yCat.1350....0G,Seyfert_1,*|AGN|QSO|Sy1|UV|X,127502.374,26.981,0.57483,9e-05,,,0.1926,0.1438,0.284,-0.151,0.172,0.121,90,,,,17.6,18.23,18.2,18.158,17.919,17.469,18.377,18.122,18.128,17.96,18.075,0,107.34264907331116,-61.707772526777774
UM 232,5.614583,1.403333,,AGN,Q,2010A&A...518A..10V,0.57728,2CXO J002227.4+012412,5.6144967,1.4034682,0.789,0.789,3.086,0,0.08005,PB  5901,5.6144995138,1.4034902576,0.0,0.0,90.0,79.0,00 22 27.47988,+01 24 12.5649,A,2020yCat.1350....0G,QSO,*|EmO|G|IR|QSO,244033.347,,2.123,,,,,,-0.065,0.046,0.099,0.08,90,,,,17.0,18.9,,16.383,15.643,15.156,18.027,17.698,17.495,17.366,17.109,0,108.03744932084874,-60.627493977102546
2QZ J002301-2752,5.75625,-27.8775,,AGN,Q,2010A&A...518A..10V,0.301298,2CXO J002301.4-275238,5.7561885,-27.8774364,0.87,0.87,4.733,0,0.206301,[VV2006] J002301.5-275239,5.7562504037,-27.8774193792,0.0,0.0,90.0,5.0,00 23 01.50010,-27 52 38.7098,A,2020yCat.1350....0G,QSO,*|QSO,209178.286,,1.37,,,,0.3143,0.3486,-0.107,0.117,0.387,0.351,90,,,,,19.8,,,,,,,,,,0,24.517677249742842,-83.65601882553564
UM 245,6.890833,-1.581111,,AGN,Q,2010A&A...518A..10V,0.58546,2CXO J002733.7-013452,6.8908157,-1.5812727,0.841,0.841,2.167,0,0.319658,LBQS 0025-0151,6.8908945702,-1.5812318515,0.0,0.0,90.0,37.0,00 27 33.81470,-01 34 52.4347,A,2020yCat.1350....0G,QSO,*|EmO|G|IR|QSO,242480.495,,2.076,,,,0.035,0.0925,-0.08,-0.009,0.116,0.098,90,,,,18.0,18.0,,16.206,15.736,14.942,,,,,,0,109.30515500638808,-63.81957049674782
UM 252,7.88125,0.572222,,AGN,Q,2010A&A...518A..10V,0.716688,2CXO J003131.4+003420,7.8810535,0.5722539,0.742,0.742,6.817,0,0.216647,LBQS 0028+0017,7.8810000991,0.572281653,0.0,0.0,90.0,53.0,00 31 31.44002,+00 34 20.2140,A,2020yCat.1350....0G,QSO,*|EmO|G|QSO|X,228975.333,107.925,1.73252,0.00036,,,0.1095,0.2073,-0.01,-0.594,0.241,0.215,90,,,,19.12,18.94,,,18.735,18.681,18.847,18.76,18.742,18.463,18.503,0,112.31950652944745,-61.88848156989579
IGR J00333+6122,8.32625,61.461944,,AGN,A,2010A&A...518A..10V,0.289215,2CXO J003318.3+612743,8.3264179,61.4619483,0.955,0.955,6.936,0,0.13852,2MASX J00331831+6127433,8.3264638679,61.4619798952,0.0,0.0,90.0,38.0,00 33 18.35133,+61 27 43.1276,A,2020yCat.1350....0G,Seyfert_1,*|AGN|G|IR|Sy1|X|gam,29833.806,,0.105,,,,,,-0.449,0.237,0.351,0.37,90,0.13,0.13,90,,,,14.956,14.231,12.988,,,,,,0,120.76744840766122,-1.3335727570637559
XMM J00333-4337,8.329583,-43.619722,,AGN,A,2010A&A...518A..10V,0.372337,2CXO J003319.1-433711,8.3296355,-43.6198182,0.739,0.739,4.824,0,0.371305,XMMES1  77,8.3295833333,-43.6197222222,,,172.0,2.0,00 33 19.1,-43 37 11,D,2010A&A...518A..10V,AGN,AGN|GrG|X,212792.517,,1.4273,,,,,,,,,,,,,,,,,,,,,,,,,0,314.2793616461463,-73.10697763360466
XMM J00333-4337,8.337083,-43.629167,,AGN,A,2010A&A...518A..10V,0.713601,2CXO J003320.9-433745,8.3373174,-43.6292695,0.766,0.766,5.412,0,0.713478,[VV2010c] J003320.9-433745,8.3370833333,-43.6291666667,,,172.0,3.0,00 33 20.9,-43 37 45,D,2010A&A...518A..10V,AGN,AGN|G|GrG|IR|X,207267.934,,1.341,,,,,,,,,,,,,,22.317,22.293,21.878,,,,,,,,,0,314.2529392430952,-73.09915004135944
XMM J00334-4332,8.369167,-43.541944,,AGN,A,2010A&A...518A..10V,0.236839,2CXO J003328.6-433231,8.3692359,-43.5419869,0.952,0.952,3.939,0,0.236644,SWIRE J003328.66-433230.9,8.3691666667,-43.5419444444,,,172.0,3.0,00 33 28.6,-43 32 31,D,2010A&A...518A..10V,AGN,AGN|G|GrG|IR|X,230747.545,,1.772,,,,,,,,,,,,,,24.843,,24.65,,,,,,,,,0,314.24814629503663,-73.18943212605139
XMM J00334-4331,8.369583,-43.527222,,AGN,A,2010A&A...518A..10V,0.643452,2CXO J003328.7-433138,8.3696675,-43.5273899,0.988,0.988,5.353,0,0.642374,SWIRE J003328.73-433138.6,8.3695833333,-43.5272222222,,,172.0,3.0,00 33 28.7,-43 31 38,D,2010A&A...518A..10V,AGN,AGN|G|GrG|IR|X,241766.38,,2.055,,,,,,,,,,,,,,23.537,23.52,23.089,,,,,,,,,0,314.25926515285335,-73.20367425742329
XMM J00335-4333,8.381667,-43.553611,,AGN,A,2010A&A...518A..10V,0.43062,2CXO J003331.6-433313,8.3817507,-43.5537141,0.765,0.765,6.494,0,0.430734,SWIRE J003331.64-433313.3,8.3816666667,-43.5536111111,,,172.0,3.0,00 33 31.6,-43 33 13,D,2010A&A...518A..10V,AGN,AGN|G|GrG|IR|X,170265.2,,0.905,,,,,,,,,,,,,,24.524,23.62,22.913,,,,,,,,,0,314.2079607243988,-73.18023090943697
XMM J00335-4320,8.38375,-43.335556,,AGN,A,2010A&A...518A..10V,0.587811,2CXO J003332.0-432007,8.3835301,-43.335523,0.913,0.913,2.971,0,0.587604,ESIS 102351,8.38375,-43.3355555556,,,172.0,2.0,00 33 32.1,-43 20 08,D,2010A&A...518A..10V,AGN,AGN|G|GrG|X,193704.773,,1.1568,,,,,,,,,,,,,,23.777,23.687,23.673,,,,,,,,,0,314.38687368185583,-73.39227254150438
XMM J00335-4322,8.392917,-43.3725,,AGN,A,2010A&A...518A..10V,0.380255,2CXO J003334.3-432220,8.3929758,-43.3724034,0.876,0.876,2.263,0,0.380634,[VV2010c] J003334.3-432221,8.3929166667,-43.3725,,,172.0,3.0,00 33 34.3,-43 22 21,D,2010A&A...518A..10V,AGN,AGN|GrG|IR|X,252286.589,,2.409,,,,,,,,,,,,,,,,23.0,,,,,,,,,0,314.3323234176409,-73.3581586363285
ELAIS J00337-4319,8.442917,-43.328889,,AGN,A,2010A&A...518A..10V,0.6334,2CXO J003346.2-431943,8.4427027,-43.3288074,0.715,0.715,9.868,0,0.41023,ATELAIS J003346.27-431944.2,8.4428548666,-43.3288344719,0.003,0.002,90.0,13.0,00 33 46.28517,-43 19 43.8041,C,2020yCat.1350....0G,LINER,*|AGN|G|GrG|IR|LIN|Rad|X,97803.812,,0.403,,,,,,,,,,32767,,,,21.224,20.114,19.321,,,,,21.33,,18.67,,0,314.24634657650677,-73.40918475990424
XMM J00338-4321,8.473333,-43.357778,,AGN,A,2010A&A...518A..10V,0.525442,2CXO J003353.5-432127,8.4731386,-43.3577416,0.8,0.8,2.944,0,0.526089,ESIS 101473,8.4733333333,-43.3577777778,,,172.0,2.0,00 33 53.6,-43 21 28,D,2010A&A...518A..10V,AGN,AGN|G|GrG|X,211259.998,,1.4026,,,,,,,,,,,,,,21.949,22.076,21.376,,,,,,,,,0,314.14691657101594,-73.38638079219506
XMM J00342-4338,8.5625,-43.646389,,AGN,A,2010A&A...518A..10V,0.345843,2CXO J003414.9-433847,8.5623757,-43.6464227,0.818,0.818,6.085,0,0.021796,ATELAIS J003414.97-433847.0,8.562375,-43.6464166667,0.27,0.131,0.0,3.0,00 34 14.97,-43 38 47.1,D,1999MNRAS.305..297G,Radio,Rad,,,,,,,,,,,,,,,,,25.32,24.42,23.85,,,,,,,,,0,313.6941883596425,-73.1208415265574
XMM J00349-4335,8.729583,-43.595833,,AGN,A,2010A&A...518A..10V,0.287331,2CXO J003455.1-433544,8.7295875,-43.5957533,0.784,0.784,5.086,0,0.288325,ESIS 90747,8.7295833333,-43.5958333333,,,172.0,2.0,00 34 55.1,-43 35 45,D,2010A&A...518A..10V,AGN,AGN|G|GrG|X,258348.689,,2.6698,,,,,,,,,,,,,,22.555,21.908,21.526,,,,,,,,,0,313.32662426985837,-73.19752419184061
XMM J00350-4334,8.760417,-43.572222,,AGN,Q,2010A&A...518A..10V,0.320511,2CXO J003502.5-433419,8.7604218,-43.572133,0.795,0.795,10.703,0,0.321479,SWIRE J003502.52-433419.4,8.7604166667,-43.5722222222,,,172.0,3.0,00 35 02.5,-43 34 20,D,2010A&A...518A..10V,QSO,AGN|G|GrG|IR|QSO|X,174639.292,,0.947,,,,,,,,,,,,,,21.433,21.096,20.681,,,,,,,,,0,313.2692889296653,-73.22549787378387
XMM J00350-4316,8.768333,-43.269444,,AGN,A,2010A&A...518A..10V,0.42606,2CXO J003504.4-431610,8.7684025,-43.269551,0.954,0.954,7.152,0,0.424289,XMMES1 272,8.7683333333,-43.2694444444,,,172.0,2.0,00 35 04.4,-43 16 10,D,2010A&A...518A..10V,AGN,AGN|G|GrG|X,240561.419,,2.0204,,,,,,,,,,,,,,20.782,20.653,20.421,,,,,,,,,0,313.4844470879705,-73.52180811921312
XMM J00352-4333,8.815,-43.565833,,AGN,A,2010A&A...518A..10V,0.649357,2CXO J003515.6-433357,8.8150325,-43.5660118,0.726,0.726,42.492,0,0.077826,2MASS J00351562-4333576,8.8150214797,-43.5660318894,0.0,0.0,90.0,16.0,00 35 15.60516,-43 33 57.7148,A,2020yCat.1350....0G,Seyfert_1,*|AGN|G|GrG|IR|Rad|Sy1|X,39832.27,,0.143,,,,,,0.063,-0.261,0.106,0.115,90,,,,17.391,16.936,16.666,15.44,14.59,13.61,,18.71,,16.25,,0,313.1401100618179,-73.24013799498131
XMM J00352-4324,8.817083,-43.414444,,AGN,Q,2010A&A...518A..10V,0.187754,2CXO J003516.1-432451,8.8171176,-43.4143983,0.886,0.886,5.497,0,0.10083,ESIS 52790,8.8170831472,-43.4144108753,0.0,0.0,90.0,3.0,00 35 16.09996,-43 24 51.8792,A,2020yCat.1350....0G,QSO,*|AGN|G|GrG|IR|QSO|X,247790.41,,2.245,,,,,,-0.36,0.102,0.176,0.177,90,,,,19.658,19.459,19.286,,,,,,,,,0,313.2503836821704,-73.38841638600017
XMM J00356-4336,8.903333,-43.604167,,AGN,A,2010A&A...518A..10V,0.336832,2CXO J003536.8-433615,8.9033862,-43.6042523,0.82,0.82,4.0,0,0.337682,SWIRE J003536.82-433614.9,8.9033333333,-43.6041666667,,,172.0,3.0,00 35 36.8,-43 36 15,D,2010A&A...518A..10V,AGN,AGN|G|GrG|IR|X,212651.404,,1.425,,,,,,,,,,,,,,23.665,23.254,22.87,,,,,,,,,0,312.8950013262506,-73.21656341140199
XMM J00356-4310,8.921667,-43.172778,,AGN,A,2010A&A...518A..10V,0.588556,2CXO J003541.2-431022,8.9218284,-43.1728915,0.81,0.81,4.263,0,0.589842,ESIS 64779,8.9216666667,-43.1727777778,,,172.0,2.0,00 35 41.2,-43 10 22,D,2010A&A...518A..10V,AGN,AGN|G|GrG|X,74513.41,,0.289,,,,,,,,,,,,,,23.753,23.503,22.902,,,,,,,,,0,313.1740024117755,-73.64073413980405
XMM J00358-4314,8.952083,-43.245556,,AGN,Q,2010A&A...518A..10V,0.54682,2CXO J003548.4-431444,8.9519653,-43.2456814,0.717,0.717,15.605,0,0.314569,2XMM J003548.3-431444,8.9518455883,-43.2456869992,0.0,0.0,90.0,4.0,00 35 48.44294,-43 14 44.4732,A,2020yCat.1350....0G,QSO,*|AGN|G|GrG|IR|QSO|X,225935.797,,1.668,,,,0.1516,0.3725,-0.119,0.417,0.305,0.282,90,,,,20.862,20.311,19.934,,,,,,,,,0,313.0423595093797,-73.57439697352044
1ES 0037+405,10.0575,40.834444,,AGN,B,2010A&A...518A..10V,0.682455,2CXO J004013.8+405004,10.0576068,40.8346155,0.804,0.804,39.273,4,0.308498,5C  3.76,10.057502,40.834648,0.09,0.09,125.0,62.0,00 40 13.800,+40 50 04.73,B,2003yCat.2246....0C,BLLac,*|AGN|BLL|Bla|Bz?|IR|Q?|Rad|X|gam,63512.147,,0.24,,,,,,,,,,,,,,,19.3,19.9,16.148,15.186,14.716,,,,,,1,120.64605173432764,-21.98738364853106
ELAIS J00407-4408,10.180833,-44.148056,,AGN,A,2010A&A...518A..10V,0.844294,2CXO J004043.4-440852,10.1811447,-44.1479853,0.898,0.898,4.486,0,0.843137,ELAISC15 J004043-440852,10.1808333333,-44.1480555556,,,172.0,6.0,00 40 43.4,-44 08 53,D,2010A&A...518A..10V,Seyfert_2,AGN|IR|Sy2,89983.717,,0.363,,,,,,,,,,,,,,21.6,19.84,,,,,,20.7,,,,0,309.4589589554595,-72.84424015895924
NGC  235,10.72,-23.541111,,AGN,A,2010A&A...518A..10V,0.382317,2CXO J004252.7-233227,10.7199861,-23.5410056,0.712,0.712,25.911,0,0.212461,NGC   235,10.7200431107,-23.5410330095,0.001,0.0,90.0,132.0,00 42 52.81035,-23 32 27.7188,C,2020yCat.1350....0G,Seyfert_2,*|AGN|G|PaG|QSO|Sy1|Sy2|X,6590.036,86.94,0.022229,0.00029,,S0,,,,,,,32767,0.9,0.45,135,14.24,,12.63,10.582,9.979,10.086,,,,,,0,94.14009787739892,-85.92501456269656
SDSS J00438+0055,10.965,0.917222,,AGN,Q,2010A&A...518A..10V,0.40874,2CXO J004351.5+005501,10.9648939,0.9171817,0.786,0.786,2.8,0,0.314187,SDSS J004351.58+005501.8,10.964980958,0.9171879941,0.001,0.0,90.0,17.0,00 43 51.59543,+00 55 01.8768,A,2020yCat.1350....0G,QSO,*|G|QSO|X,192748.236,467.676,1.14506,0.00156,,,,,-1.505,-2.418,1.936,1.223,90,,,,20.89,20.52,,,20.082,19.721,20.686,20.764,20.455,20.496,20.594,0,118.90810876380952,-61.895343395421214
SDSS J00454+1436,11.359583,14.611944,,AGN,Q,2010A&A...518A..10V,0.638144,2CXO J004526.2+143643,11.3594664,14.6120807,0.741,0.741,7.156,0,0.12933,[VV2006] J004526.3+143643,11.3594317172,14.6120935163,0.0,0.0,90.0,27.0,00 45 26.26361,+14 36 43.5367,A,2020yCat.1350....0G,QSO,*|QSO,238185.231,590.591,1.95506,0.00197,,,0.1559,0.1268,0.113,0.11,0.153,0.095,90,,,,19.35,19.02,,18.083,18.107,18.011,19.085,18.969,18.758,18.431,18.272,0,120.75250923782927,-48.23427504681722
SDSS J00461+0106,11.542917,1.112222,,AGN,A,2010A&A...518A..10V,0.20885,2CXO J004610.3+010643,11.5429706,1.1121997,0.726,0.726,13.33,0,0.265986,2MASS J00461028+0106440,11.5429037658,1.112231226,0.0,0.0,90.0,5.0,00 46 10.29690,+01 06 44.0324,A,2020yCat.1350....0G,QSO,*|AGN|G|IR|QSO,57898.0,8.994,0.21602,3e-05,,,0.0152,0.4431,-0.704,0.452,0.667,0.578,90,0.25,0.16,175,18.82,18.11,,16.07,15.353,14.431,19.583,18.522,17.635,17.136,16.926,0,120.15187366352387,-61.731119198691054
UM 275,11.55625,1.073889,,AGN,Q,2010A&A...518A..10V,0.79691,2CXO J004613.5+010425,11.5564151,1.0737415,0.926,0.926,2.722,0,0.27014,QSO J0046+0104,11.5564462684,1.073809762,0.0,0.0,90.0,115.0,00 46 13.54710,+01 04 25.7151,A,2020yCat.1350....0G,QSO,*|EmO|G|IR|Q?|QSO|Rad|blu|gam,244897.982,,2.15,,,,0.0837,0.1298,0.274,0.105,0.17,0.159,90,,,,18.7,18.35,,16.442,15.848,15.019,18.619,18.333,18.055,17.872,17.696,0,120.17675514870314,-61.77011961293521
2QZ J004821-2852,12.09,-28.868611,,AGN,Q,2010A&A...518A..10V,0.455285,2CXO J004821.6-285207,12.0900945,-28.8687066,0.931,0.931,8.575,0,0.399678,[VV2006] J004821.6-285207,12.0901690496,-28.868796398,0.0,0.0,90.0,5.0,00 48 21.64057,-28 52 07.6670,A,2020yCat.1350....0G,QSO,*|QSO,148057.351,,0.718,,,,,,-0.005,-0.701,0.476,0.427,90,,,,19.69,,,,,,,,,,,0,324.074064006311,-88.13168272750131
SDSSp J00501-0053,12.52625,-0.888611,,AGN,Q,2010A&A...518A..10V,0.696067,2CXO J005006.3-005319,12.5264411,-0.8886409,0.827,0.827,4.263,0,0.139074,QSO J0050-0053,12.5264565287,-0.8886763177,0.0,0.0,90.0,37.0,00 50 06.34957,-00 53 19.2347,A,2020yCat.1350....0G,QSO,*|QSO,279274.872,143.9,4.31253,0.00048,,,0.5436,0.5775,0.471,-0.22,0.648,0.658,90,,,,22.45,21.2,,18.4,17.89,17.25,25.14,21.861,20.106,19.429,19.41,0,122.17878828806668,-63.758440429051184
SDSS J00501-0039,12.540833,-0.65,,AGN,A,2010A&A...518A..10V,0.63941,2CXO J005009.8-003900,12.540979,-0.6501011,0.738,0.738,5.888,0,0.360826,IRAS F00476-0054,12.5409121843,-0.6501758141,0.001,0.001,90.0,34.0,00 50 09.81892,-00 39 00.6329,C,2020yCat.1350....0G,Seyfert_2,*|AGN|G|IR|QSO|Rad|Sy2,149369.146,,0.728,,,,,,,,,,32767,,,,20.81,20.35,,19.278,18.96,18.584,21.16,20.741,20.24,20.167,18.987,0,122.21764773336417,-63.520081793940044
HE 0047-1756,12.615833,-17.669167,,AGN,Q,2010A&A...518A..10V,0.48291,2CXO J005027.8-174009,12.615969,-17.6692016,0.71,0.71,32.7,0,0.138679,[VV2006] J005027.8-174009,12.6159307042,-17.6692139486,0.0,0.0,90.0,46.0,00 50 27.82337,-17 40 09.1702,A,2020yCat.1350....0G,QSO,*|AGN|IR|LeQ|QSO|UV|gLS,226370.861,899.377,1.677,0.003,,,0.0574,0.0773,0.069,-0.053,0.083,0.098,90,,,,,,,15.567,14.618,14.347,,,,,,0,121.52036727313165,-80.53827948452067
2MASS J00509+2933,12.732083,29.557778,,AGN,A,2010A&A...518A..10V,0.361766,2CXO J005055.6+293328,12.7320141,29.5578586,0.715,0.715,9.956,0,0.289345,2MASS J00505570+2933281,12.7320860463,29.5578081691,0.001,0.0,90.0,17.0,00 50 55.70065,+29 33 28.1094,A,2020yCat.1350....0G,QSO,*|AGN|G|IR|QSO,38021.682,,0.136,,,,,,-4.5,0.751,0.657,0.405,90,0.143,0.143,90,,,,14.946,13.766,13.029,,,,,,0,122.79924767052921,-33.31375763926657
