P_median_AGN,P_median_CV,P_median_HM-STAR,P_median_HMXB,P_median_LM-STAR,P_median_LMXB,P_median_NS,P_median_YSO,P_2sig_upp_AGN,P_2sig_upp_CV,P_2sig_upp_HM-STAR,P_2sig_upp_HMXB,P_2sig_upp_LM-STAR,P_2sig_upp_LMXB,P_2sig_upp_NS,P_2sig_upp_YSO,P_2sig_low_AGN,P_2sig_low_CV,P_2sig_low_HM-STAR,P_2sig_low_HMXB,P_2sig_low_LM-STAR,P_2sig_low_LMXB,P_2sig_low_NS,P_2sig_low_YSO,P_AGN,P_CV,P_HM-STAR,P_HMXB,P_LM-STAR,P_LMXB,P_NS,P_YSO,e_P_AGN,e_P_CV,e_P_HM-STAR,e_P_HMXB,e_P_LM-STAR,e_P_LMXB,e_P_NS,e_P_YSO,Class_median,Class_prob_median,Class_prob_2sig_upp,Class_prob_2sig_low,Class,Class_prob,Class_prob_e,name,true_Class,conf_flag,CT
0.97,0.0,0.0,0.0,0.0,0.01,0.01,0.0,1.0,0.02,0.02,0.0,0.06272749999999974,0.11272749999999973,0.08,0.04,0.7572725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94424,0.0016300000000000002,0.00198,2.9999999999999997e-05,0.00889,0.023065000000000002,0.01283,0.007335,0.0682959496363931,0.004864850127883364,0.008564633848154452,0.0009486832980505127,0.017806880270979108,0.03499293186173857,0.023146854578470856,0.012648429062842451,AGN,0.97,1.0,0.7572725,AGN,0.94424,0.0682959496363931,2CXO J003328.6-433231,AGN,1,8.918433297359915
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02,0.0,0.0,0.03,0.02,0.04636374999999987,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98675,0.002205,0.00014500000000000003,1e-05,0.002395,0.0028000000000000004,0.005415,0.00028000000000000003,0.04537837256553718,0.009415499276545376,0.0015831871277525863,0.0003162277660168379,0.00978696887497655,0.01925436913354293,0.023616954408550134,0.0028512680915216883,AGN,1.0,1.0,0.88,AGN,0.98675,0.04537837256553718,2CXO J003328.7-433138,AGN,1,14.223209643872863
0.97,0.0,0.0,0.0,0.0,0.01,0.0,0.01,1.0,0.01,0.01,0.0,0.0,0.06,0.03,0.05,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9685549999999999,0.0008,0.0006900000000000001,1e-05,0.00017999999999999998,0.015105,0.004525,0.010135,0.025848696874893506,0.002858000729210574,0.0028340663245471037,0.000316227766016838,0.0021382638219294117,0.016308891898438566,0.00756019388187443,0.014277977294968497,AGN,0.97,1.0,0.9,AGN,0.9685549999999999,0.025848696874893506,2CXO J003331.6-433313,AGN,1,22.616331430300647
0.2675,0.0,0.0,0.0,0.0,0.28,0.35,0.0,0.61,0.05272749999999974,0.09,0.0,0.06,0.78,0.75,0.07272749999999974,0.07,0.0,0.0,0.0,0.0,0.04,0.02,0.0,0.286445,0.00683,0.006145,0.0,0.00663,0.32045,0.36311,0.01039,0.1365156529431644,0.01878707146029029,0.026272689798138855,0.0,0.021617363632284354,0.20142936219583593,0.19433779460451095,0.021451295020535666,NS,0.35,0.75,0.02,NS,0.36311,0.19433779460451095,2CXO J003332.0-432007,AGN,0,0.10779065232419151
0.35,0.0,0.0,0.0,0.02,0.495,0.09,0.0,0.6513637499999999,0.03,0.01,0.0,0.11,0.79,0.34272749999999974,0.04,0.14,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.36313,0.004348333333333333,0.0009,2e-05,0.027896666666666667,0.490075,0.109545,0.004085,0.13060727912854386,0.010211602695335588,0.006517858734468127,0.0004469897088298563,0.03849808483378366,0.16187569237364863,0.09090341801278107,0.014289575464896311,LMXB,0.495,0.79,0.18,LMXB,0.490075,0.16187569237364863,2CXO J003334.3-432220,AGN,0,0.4340252676865613
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.0,0.0,0.0,0.02,0.0,0.01,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99586,0.00041999999999999996,2e-05,0.0,1e-05,0.00316,0.00017,0.00035999999999999997,0.007830818713373587,0.002197368523581884,0.00044698970882985637,0.0,0.0003162277660168379,0.006313022592566435,0.001368566027991698,0.001916787435808696,AGN,1.0,1.0,0.97,AGN,0.99586,0.007830818713373587,2CXO J003346.2-431943,AGN,1,70.18602503572303
0.95,0.0,0.0,0.0,0.01,0.0,0.02,0.01,1.0,0.01,0.0,0.01,0.22272749999999975,0.02,0.15,0.27272749999999973,0.5172725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.902995,0.00091,0.00016,0.000335,0.03177,0.0023650000000000003,0.0322425,0.0292225,0.12799135424614327,0.003909883270276387,0.001255378817718372,0.002101711729089456,0.057078236001343166,0.006210502825484051,0.04215096852858662,0.0707080361070799,AGN,0.95,1.0,0.5172725,AGN,0.902995,0.12799135424614327,2CXO J003353.5-432127,AGN,1,4.397459390523118
0.95,0.01,0.0,0.0,0.0,0.01,0.02,0.0,1.0,0.14,0.08,0.0,0.02,0.2,0.38,0.02,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82217,0.025135,0.01412,0.0,0.0028250000000000003,0.036270000000000004,0.097615,0.001865,0.1948662720020168,0.03985279187233965,0.02291398373593407,0.0,0.007409404448015663,0.06032600041711966,0.1232553392500855,0.005101254531759595,AGN,0.95,1.0,0.43,AGN,0.82217,0.1948662720020168,2CXO J003414.9-433847,AGN,1,2.2776038293915555
0.44,0.0,0.01,0.0,0.0,0.19,0.3,0.0,0.74,0.08,0.05,0.0,0.002727499999999736,0.5700000000000001,0.6900000000000001,0.01,0.16,0.0,0.0,0.0,0.0,0.04,0.03,0.0,0.44408833333333336,0.00916,0.012506666666666666,0.0,0.0005366666666666666,0.21866333333333332,0.313735,0.00131,0.1440699290372079,0.03116915006726869,0.01492706324824871,0.0,0.005539595694072549,0.13645501890108114,0.17101281024349752,0.005335012873682912,AGN,0.44,0.74,0.16,AGN,0.44408833333333336,0.1440699290372079,2CXO J003455.1-433544,AGN,0,0.41371143856027714
0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02,0.0,0.0,0.03,0.01,0.045,0.02,0.92363625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.983955,0.002215,2.9999999999999997e-05,2e-05,0.0033,0.0013800000000000002,0.006385,0.002715,0.02262398770817871,0.005844050643853791,0.0005471740119919803,0.00044698970882985626,0.00902171776278727,0.00389368215969932,0.01367273632886698,0.006328018553924988,AGN,0.99,1.0,0.92363625,AGN,0.983955,0.02262398770817871,2CXO J003502.5-433419,AGN,1,26.932733626380674
0.96,0.02,0.0,0.0,0.0,0.01,0.0,0.01,0.9963637499999999,0.19272749999999975,0.0,0.0,0.02,0.07,0.01,0.04,0.7272725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.937885,0.03478,0.00015,0.00013000000000000002,0.0022,0.013404999999999999,0.00058,0.010870000000000001,0.06456446658453348,0.05384515670792409,0.0012958314624900806,0.0011333068359382582,0.005077970636561987,0.018870269263104374,0.0024226987987509855,0.012161043992642699,AGN,0.96,0.9963637499999999,0.7272725,AGN,0.937885,0.06456446658453348,2CXO J003504.4-431610,AGN,1,7.626956111239699
0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02,0.0,0.0,0.01,0.02,0.0,0.02,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98826,0.00511,0.0,7.000000000000001e-05,0.0011400000000000002,0.00335,0.0,0.00207,0.011379890241206277,0.007130128942644642,0.0,0.0008341437500789629,0.003303227408355549,0.006059225545745445,0.0,0.004694372922674244,AGN,0.99,1.0,0.96,AGN,0.98826,0.011379890241206277,2CXO J003515.6-433357,AGN,1,53.11447763694108
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,0.0,0.0,0.06,0.02,0.0,0.02,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9881899999999999,0.00271,0.00023999999999999998,1e-05,0.00578,0.0011300000000000001,0.00023,0.00171,0.030586916475177098,0.00853397496649296,0.0018291379788703056,0.0003162277660168379,0.01780192429229234,0.004565516832073228,0.0016881794780028423,0.007696436521867457,AGN,1.0,1.0,0.88,AGN,0.9881899999999999,0.030586916475177098,2CXO J003516.1-432451,AGN,1,20.30240824988824
0.27,0.0,0.03,0.0,0.0,0.56,0.05,0.01,0.61,0.13,0.16,0.0,0.02,0.95,0.4613637499999999,0.08,0.03,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.2798625,0.01614,0.03807,0.0,0.00275,0.5555233333333333,0.0923,0.015354166666666665,0.1578266346037334,0.03844578622526111,0.04239070737876487,0.0,0.024307990011072058,0.23437089612467582,0.12234634701791734,0.02294617151517591,LMXB,0.56,0.95,0.12,LMXB,0.5555233333333333,0.23437089612467582,2CXO J003536.8-433615,AGN,0,0.7028622358263243
0.66,0.0,0.0,0.0,0.0,0.23,0.05,0.0,0.8663637499999999,0.03,0.04,0.0,0.03,0.6863637499999999,0.39,0.04,0.245,0.0,0.0,0.0,0.0,0.03363624999999999,0.0,0.0,0.6313166666666667,0.0042183333333333335,0.007266666666666667,0.0,0.002505,0.26276499999999997,0.08320666666666666,0.008721666666666667,0.1605153104445472,0.009598640992812942,0.017373596111393916,0.0,0.013295741865415102,0.16519558246689783,0.10051549680736684,0.014012434596576126,AGN,0.66,0.8663637499999999,0.245,AGN,0.6313166666666667,0.1605153104445472,2CXO J003541.2-431022,AGN,0,1.1315300614366293
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.0,0.0,0.01,0.01,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99805,0.00043,8e-05,2e-05,0.0008900000000000001,0.00035000000000000005,0.0,0.00017999999999999998,0.005773285964754464,0.0021725146305191646,0.0008912880535463236,0.0004469897088298564,0.003731195762999018,0.0018923744558308436,0.0,0.0014730138389607097,AGN,1.0,1.0,0.98,AGN,0.99805,0.005773285964754464,2CXO J003548.4-431444,AGN,1,104.91471587432815
0.99,0.0,0.0,0.0,0.0,0.0,0.01,0.0,1.0,0.02,0.01,0.0,0.13,0.04,0.13,0.05,0.6672725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.960135,0.00184,0.00065,0.00011,0.009304999999999999,0.00534,0.01697,0.0056500000000000005,0.07831500504382934,0.004799733058977073,0.002661688295910058,0.0015133374343450925,0.02954005060235323,0.010963786052482261,0.03547361663937689,0.01482387423203688,AGN,0.99,1.0,0.6672725,AGN,0.960135,0.07831500504382934,2CXO J004043.4-440852,AGN,1,8.288746150962467
0.96,0.0,0.0,0.01,0.0,0.01,0.0,0.0,1.0,0.02,0.01,0.05,0.0,0.04,0.0,0.03,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9631799999999999,0.00361,0.00037,0.01629,5.9999999999999995e-05,0.00975,0.00014000000000000001,0.0066,0.01979088879457613,0.006333088346771115,0.001888562063228706,0.013368418553240126,0.0007726558075864028,0.010656033551516765,0.0011754921445002436,0.008758807950669816,AGN,0.96,1.0,0.92,AGN,0.9631799999999999,0.01979088879457613,2CXO J004252.7-233227,AGN,1,28.555783450716696
0.97,0.0,0.0,0.0,0.0,0.01,0.0,0.0,1.0,0.04,0.01,0.0,0.022727499999999737,0.07,0.02,0.04,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9615549999999999,0.00788,0.00041999999999999996,0.00026000000000000003,0.00184,0.018850000000000002,0.001735,0.00746,0.03601533116714432,0.013656210751599151,0.0020068950215762723,0.001984020245949204,0.009203211347084185,0.01911525288592575,0.004640723145298728,0.013584289931127543,AGN,0.97,1.0,0.85,AGN,0.9615549999999999,0.03601533116714432,2CXO J004351.5+005501,AGN,1,17.099492345165956
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.9772725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9983200000000001,0.00028000000000000003,1e-05,0.0,0.00113,4e-05,2e-05,0.0002,0.007578590570484383,0.0018234376668602957,0.000316227766016838,0.0,0.005554633557126337,0.0006315051850925679,0.00044698970882985626,0.0017785283700754292,AGN,1.0,1.0,0.9772725,AGN,0.9983200000000001,0.007578590570484383,2CXO J004526.2+143643,AGN,1,75.92880394872354
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99842,0.0001,1e-05,1e-05,0.0,0.00128,0.0,0.00017999999999999998,0.0041377192655762465,0.0009954853042566682,0.00031622776601683794,0.0003162277660168379,0.0,0.0037115192812883753,0.0,0.0013301764429463365,AGN,1.0,1.0,0.99,AGN,0.99842,0.0041377192655762465,2CXO J004610.3+010643,AGN,1,127.03652641545818
0.97,0.0,0.0,0.01,0.0,0.0,0.0,0.01,1.0,0.05,0.02,0.05,0.032727499999999736,0.04,0.01,0.3027274999999997,0.5345449999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9343199999999999,0.00802,0.00173,0.00977,0.00302,0.0073,0.00058,0.03526,0.1190660082236501,0.016785748757841012,0.00926244529770044,0.015022409020286088,0.015339977669961419,0.011064918998005926,0.002659073272903676,0.08165292156193549,AGN,0.97,1.0,0.5345449999999999,AGN,0.9343199999999999,0.1190660082236501,2CXO J004613.5+010425,AGN,1,4.479198852646358
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,0.0,0.0,0.01,0.01,0.0,0.01,0.9572725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.993725,0.0039900000000000005,2.9999999999999997e-05,2e-05,0.001135,0.0006,4e-05,0.00046,0.014861703981887317,0.01157211362776109,0.0005471740119919797,0.00044698970882985626,0.0055378192858238405,0.0025781091223310644,0.0006315051850925679,0.0022345902070387306,AGN,1.0,1.0,0.9572725,AGN,0.993725,0.014861703981887317,2CXO J004821.6-285207,AGN,1,37.44200004008291
0.96,0.0,0.0,0.0,0.0,0.01,0.0,0.01,1.0,0.07,0.01,0.01,0.07,0.14,0.02,0.06,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93508,0.012545,0.00135,0.0005600000000000001,0.00726,0.027780000000000003,0.00156,0.013865,0.0698442683534005,0.01971894550456014,0.004085852933500446,0.002385810573388445,0.01810580625711598,0.037176655359293764,0.00483629918323813,0.01776238377237911,AGN,0.96,1.0,0.75,AGN,0.93508,0.0698442683534005,2CXO J005006.3-005319,AGN,1,8.477781433056167
0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.99,0.02,0.0,0.02,0.0,0.03,0.03,0.11,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9445699999999999,0.0039700000000000004,5e-05,0.0025800000000000003,5e-05,0.00604,0.00717,0.03557,0.03555248344460731,0.006781230351867211,0.0007056897321046962,0.006081166054350153,0.0010481405433426362,0.008705986112680992,0.00947527735113231,0.026990805908746092,AGN,0.95,0.99,0.85,AGN,0.9445699999999999,0.03555248344460731,2CXO J005009.8-003900,AGN,1,14.533933366765938
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.0,0.0,0.0,0.02,0.0,0.01,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99473,0.00111,0.0,2e-05,2e-05,0.0037099999999999998,1e-05,0.0004,0.007693262395517663,0.0033881232827893655,0.0,0.00044698970882985637,0.00044698970882985637,0.00655582785610474,0.000316227766016838,0.001960572325583487,AGN,1.0,1.0,0.98,AGN,0.99473,0.007693262395517663,2CXO J005027.8-174009,AGN,1,69.54970334945857
0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.0,0.01,0.0,0.02,0.0,0.02,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9907100000000001,0.00122,7.000000000000001e-05,0.0013800000000000002,7.000000000000001e-05,0.00209,1e-05,0.00445,0.010300582604979305,0.0035105446762466828,0.000834143750078963,0.0037295454829656526,0.0008341437500789629,0.004975606159721312,0.00031622776601683783,0.0072904492763238345,AGN,0.99,1.0,0.96,AGN,0.9907100000000001,0.010300582604979305,2CXO J005055.6+293328,AGN,1,56.06606858852092
